Sample,RMSE,MAE,DELTA1
62381,0.011535923047884169,0.002002573575713561,0.9999690651893616
55450,0.0184983449546967,0.004593375793642075,0.9999144673347473
34656,0.04216956419751422,0.017063981527319208,0.9994491338729858
13862,0.08693543552701925,0.04565523182915346,0.9969742298126221
6931,0.12110340585646927,0.06795489991013906,0.9935750961303711
3466,0.15629065580463677,0.09056369661937629,0.9887679815292358
1386,0.20219096670245387,0.12014222904846118,0.9804075360298157
693,0.23906205758341437,0.14393981382441828,0.9723073244094849
347,0.27693790939283125,0.16992384508507705,0.9627074599266052
139,0.33098973829946127,0.21211108022636316,0.9433890581130981
