Sample,RMSE,MAE,DELTA1
249523,0.007870694934966616,0.0012732788595096881,0.9999951720237732
221798,0.012348115179971648,0.0028589276556505254,0.9999843835830688
138624,0.027553011450118577,0.01047527257934722,0.9998642206192017
55450,0.059095583350371135,0.02960027627881422,0.998909056186676
27725,0.08550383268323486,0.04610070137534317,0.9971685409545898
13862,0.11357498583122251,0.06340927957863488,0.994378387928009
5545,0.15261832584986315,0.08739048014220772,0.9891607761383057
2772,0.18333616203660383,0.10645037401010905,0.9840230345726013
1386,0.21644593556947891,0.12714256896488846,0.9776785373687744
554,0.2619475486891257,0.15753522055527006,0.9672682881355286
