Sample,RMSE,MAE,DELTA1
249523,0.00813444350784082,0.0013182546056313392,0.9999943375587463
221798,0.01279446850475389,0.002967208198079806,0.9999813437461853
138624,0.028730066697068773,0.010925701060916395,0.9998410940170288
55450,0.061540425013636636,0.030763762128140703,0.9987622499465942
27725,0.08871736809306892,0.04758062568182552,0.9968379735946655
13862,0.11716337981822354,0.0648147902991287,0.9938449859619141
5545,0.1566928016954881,0.08830161550738823,0.9883962869644165
2772,0.18743217643436885,0.10639317507137848,0.9831932187080383
1386,0.2206003260105924,0.12585574753685252,0.9768945574760437
554,0.2673805649986243,0.15436891254654939,0.9670112729072571
