Sample,RMSE,MAE,DELTA1
249523,0.007452513558286439,0.0011954223011966436,0.9999968409538269
221798,0.011628966431053312,0.002669296374124356,0.9999890923500061
138624,0.025587995181677658,0.009652130214449179,0.9999077320098877
55450,0.05444938252741423,0.0271915098178126,0.9992606043815613
27725,0.07949511491318288,0.04299905008254104,0.9979379773139954
13862,0.10724341684537991,0.06042378959224739,0.9955976605415344
5545,0.14784134139305824,0.08616704920116015,0.9905697107315063
2772,0.18134004702508355,0.10772990917866508,0.9851060509681702
1386,0.21857272602276034,0.13199564093526767,0.9776229858398438
554,0.26950979925241153,0.16713890429854225,0.9644322991371155
