Sample,RMSE,MAE,DELTA1
62381,0.00837597595376804,0.0013338875014902777,0.999998927116394
55450,0.0130182770438167,0.002942756695677264,0.9999958276748657
34656,0.02954429086423903,0.010914159652040739,0.999928891658783
13862,0.0698962757428549,0.03523380956395732,0.9989003539085388
6931,0.11037356823010491,0.06184216997837088,0.995932400226593
3466,0.15978696635755188,0.09580748093382964,0.9892427921295166
1386,0.2411523038668304,0.1550604617108766,0.9696714282035828
693,0.31949730385923036,0.21571004270338298,0.938813328742981
347,0.418732398096545,0.29595377944352197,0.8819001913070679
139,0.5983782076240468,0.44655302751436454,0.7423190474510193
