Sample,RMSE,MAE,DELTA1
249523,0.008392368093824596,0.0011917180012812677,0.9999946355819702
221798,0.01286654276771075,0.002602211485110973,0.9999825954437256
138624,0.027923780508590377,0.009202447846844106,0.999854326248169
55450,0.06365874537682599,0.027574343912800336,0.9988276958465576
27725,0.10393611922040724,0.046520415474503335,0.996769905090332
13862,0.169912722149367,0.06906375464905593,0.9933122992515564
5545,0.3875045895531804,0.10612834483858104,0.9867044687271118
2772,0.6598110569405067,0.13790512336323518,0.9814174175262451
1386,0.9017370697827133,0.16694090427118455,0.9770216941833496
554,1.0527719952528185,0.1962756147400134,0.9703249931335449
