Sample,RMSE,MAE,DELTA1
62381,0.009721208175267651,0.001556782121105235,0.9999977946281433
55450,0.014954992317475399,0.003394839814503027,0.999991238117218
34656,0.03256492086475428,0.011979348819324843,0.9998826384544373
13862,0.07287467474884952,0.036020777652667355,0.9985571503639221
6931,0.11023006814998353,0.0599862001598126,0.9955615401268005
3466,0.15177499454261556,0.08762035616881891,0.9903403520584106
1386,0.21061604201246611,0.1290215145254647,0.9793684482574463
693,0.25934351192424077,0.1660458608575398,0.9663169980049133
347,0.31081174983414295,0.20828091231778617,0.946995735168457
139,0.3935766601978217,0.2844901466232429,0.8941665887832642
