Sample,RMSE,MAE,DELTA1
249523,0.007777452975519354,0.0011291522237106564,0.9999966025352478
221798,0.011834435047862009,0.0024553303269446275,0.9999890923500061
138624,0.024797158702323668,0.008487475909150766,0.999913215637207
55450,0.05210200724193149,0.024157925801863205,0.9993070960044861
27725,0.07701934473002853,0.03920025643167818,0.9980088472366333
13862,0.10494163922102837,0.05609349065497368,0.9957329034805298
5545,0.14447020085664292,0.08042700627733401,0.9912064075469971
2772,0.1752604836676109,0.10022631679136446,0.9868627190589905
1386,0.20825706055417062,0.12236733350161522,0.9812807440757751
554,0.25263799040388724,0.15588306261950255,0.9715541005134583
